Time, Value
17:35:37, 119
17:35:37, 102
17:35:37, 112
17:35:37, 139
17:35:37, 99
17:35:37, 41
17:35:37, 57
17:35:37, 99
17:35:37, 120
17:35:37, 82
17:35:37, 43
17:35:37, 32
17:35:37, 3
17:35:37, -39
17:35:37, -61
17:35:37, -42
17:35:37, 18
17:35:37, 71
17:35:37, 89
17:35:37, 38
17:35:37, 9
17:35:37, 37
17:35:37, 61
17:35:37, 67
17:35:37, 28
17:35:37, 26
17:35:37, 91
17:35:37, 102
17:35:37, 38
17:35:37, -4
17:35:37, 5
17:35:37, 50
17:35:37, 84
17:35:37, 54
17:35:37, 34
17:35:37, 49
17:35:37, 33
17:35:37, 34
17:35:37, 21
17:35:37, -18
17:35:37, -24
17:35:37, 17
17:35:37, 53
17:35:37, 87
17:35:37, 114
17:35:37, 97
17:35:37, 39
17:35:37, -2
17:35:37, -2
17:35:37, 74
17:35:37, 154
17:35:37, 133
17:35:37, 53
17:35:37, 1
17:35:37, -3
17:35:37, 0
17:35:37, 2
17:35:37, 18
17:35:37, 44
17:35:37, 91
17:35:37, 130
17:35:37, 129
17:35:37, 60
17:35:37, 6
17:35:37, 28
17:35:37, 98
17:35:37, 137
17:35:37, 106
17:35:37, 52
17:35:37, -5
17:35:37, -4
17:35:37, 70
17:35:37, 102
17:35:37, 41
17:35:37, 32
17:35:37, 91
17:35:37, 87
17:35:37, 26
17:35:37, 21
17:35:37, 20
17:35:37, 34
17:35:37, 89
17:35:37, 114
17:35:37, 70
17:35:37, 4
17:35:37, 4
17:35:37, 11
17:35:37, -17
17:35:37, -2
17:35:37, 25
17:35:37, 28
17:35:37, 12
17:35:37, 0
17:35:37, -8
17:35:37, -11
17:35:37, 11
17:35:37, 53
17:35:37, 82
17:35:37, 68
17:35:37, 40
17:35:37, 40
17:35:37, 35
17:35:37, 33
17:35:37, 23
17:35:37, 8
17:35:37, 66
17:35:37, 123
17:35:37, 101
17:35:37, 59
17:35:37, 48
17:35:37, 75
17:35:37, 109
17:35:37, 102
17:35:37, 64
17:35:37, 59
17:35:37, 120
17:35:37, 193
17:35:37, 167
